name,path,property
inverters__right__speed,inverters.right.speed.value,
inverters__right__temperature_igbt,inverters.right.temperature_igbt.value,
inverters__right__temperature_motors,inverters.right.temperature_motors.value,
inverters__left__speed,inverters.left.speed.value,
inverters__left__temperature_igbt,inverters.left.temperature_igbt.value,
inverters__left__temperature_motors,inverters.left.temperature_motors.value,
bms_hv__temperature__max,bms_hv.temperature.value,max
bms_hv__temperature__min,bms_hv.temperature.value,min
bms_hv__temperature__average,bms_hv.temperature.value,average
bms_hv__voltage__max,bms_hv.voltage.value,max
bms_hv__voltage__min,bms_hv.voltage.value,min
bms_hv__voltage__total,bms_hv.voltage.value,total
bms_hv__current__current,bms_hv.current.value,current
bms_hv__current__pow,bms_hv.current.value,pow
bms_hv__errors__fault_id,bms_hv.errors.value,fault_id
bms_hv__errors__fault_index,bms_hv.errors.value,fault_index
bms_hv__warnings__fault_id,bms_hv.warnings.value,fault_id
bms_hv__warnings__fault_index,bms_hv.warnings.value,fault_index
bms_lv__values__voltage,bms_lv.values.value,voltage
bms_lv__values__temperature,bms_lv.values.value,temperature
bms_lv__errors,bms_lv.errors.value,
gps__new__latitude_GGA_safe,gps.new.value,latitude_GGA_safe
gps__new__longitude_GGA_safe,gps.new.value,longitude_GGA_safe
gps__new__latitude_GGA,gps.new.value,latitude_GGA
gps__new__longitude_GGA,gps.new.value,longitude_GGA
gps__new__altitude_GGA,gps.new.value,altitude_GGA
gps__new__ns_indicator_GGA,gps.new.value,ns_indicator_GGA
gps__new__ew_indicator_GGA,gps.new.value,ew_indicator_GGA
gps__new__utc_time_GGA,gps.new.value,utc_time_GGA
gps__new__latitude_GLL,gps.new.value,latitude_GLL
gps__new__longitude_GLL,gps.new.value,longitude_GLL
gps__new__ns_indicator_GLL,gps.new.value,ns_indicator_GLL
gps__new__ew_indicator_GLL,gps.new.value,ew_indicator_GLL
gps__new__utc_time_GLL,gps.new.value,utc_time_GLL
gps__new__ground_speed_knots_VTG,gps.new.value,ground_speed_knots_VTG
gps__new__ground_speed_human_VTG,gps.new.value,ground_speed_human_VTG
gps__new__latitude_RMC,gps.new.value,latitude_RMC
gps__new__longitude_RMC,gps.new.value,longitude_RMC
gps__new__ns_indicator_RMC,gps.new.value,ns_indicator_RMC
gps__new__ew_indicator_RMC,gps.new.value,ew_indicator_RMC
gps__new__utc_time_RMC,gps.new.value,utc_time_RMC
gps__new__date_RMC,gps.new.value,date_RMC
gps__new__ground_speed_knots_RMC,gps.new.value,ground_speed_knots_RMC
gps__old__location__latitude_m,gps.old.location.value,latitude_m
gps__old__location__latitude_o,gps.old.location.value,latitude_o
gps__old__location__longitude_m,gps.old.location.value,longitude_m
gps__old__location__longitude_o,gps.old.location.value,longitude_o
gps__old__location__speed,gps.old.location.value,speed
gps__old__location__altitude,gps.old.location.value,altitude
gps__old__time__hours,gps.old.time.value,hours
gps__old__time__minutes,gps.old.time.value,minutes
gps__old__time__seconds,gps.old.time.value,seconds
gps__old__true_track_mode,gps.old.true_track_mode.value,
imu_gyro__x,imu_gyro.value,x
imu_gyro__y,imu_gyro.value,y
imu_gyro__z,imu_gyro.value,z
imu_gyro__scale,imu_gyro.value,scale
imu_accel__x,imu_accel.value,x
imu_accel__y,imu_accel.value,y
imu_accel__z,imu_accel.value,z
imu_accel__scale,imu_accel.value,scale
front_wheels_encoder__speed,front_wheels_encoder.value,speed
front_wheels_encoder__speedms,front_wheels_encoder.value,speedms
distance__meters,distance.value,meters
distance__rotations,distance.value,rotations
distance__angle,distance.value,angle
distance__clock_period,distance.value,clock_period
throttle,throttle.value,
brake,brake.value,
steering_wheel__encoder,steering_wheel.encoder.value,
steering_wheel__gears__control,steering_wheel.gears.value,control
steering_wheel__gears__cooling,steering_wheel.gears.value,cooling
steering_wheel__gears__map,steering_wheel.gears.value,map